num_trans_per_hour,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,no_of_transaction_in_hour,type_of_transaction
5,TRANSFER,10000,C12345,15000,5000,D54321,3000,13000,0,,
7,CASH_OUT,15000,C23456,20000,5000,D65432,5000,20000,1,,
3,TRANSFER,2000,C34567,4000,2000,D76543,8000,10000,0,,
9,TRANSFER,5000,C45678,10000,5000,D87654,5000,15000,0,,
8,CASH_OUT,8000,C56789,12000,4000,D98765,6000,14000,1,,
6,TRANSFER,3000,C67890,6000,3000,D09876,9000,12000,0,,
2,CASH_OUT,7000,C78901,9000,2000,D10987,7000,14000,0,,
4,TRANSFER,9000,C89012,14000,5000,D21098,10000,19000,1,,
5,CASH_OUT,4000,C90123,7000,3000,D32109,6000,10000,1,,
1,TRANSFER,10000,C01234,15000,5000,D43210,3000,13000,0,,
10,TRANSFER,11000,C11111,16000,5000,D54322,5000,16000,0,,
7,CASH_OUT,16000,C22222,21000,5000,D65433,7000,23000,1,,
4,TRANSFER,2200,C33333,4200,2200,D76544,9000,11200,0,,
3,TRANSFER,5500,C44444,10500,5000,D87655,11000,16500,0,,
9,CASH_OUT,8200,C55555,14200,6000,D98766,13000,22200,1,,
5,CASH_OUT,3200,C66666,6200,3000,D09877,15000,18200,0,,
2,TRANSFER,7200,C77777,12200,5000,D10988,17000,27200,0,,
8,TRANSFER,9500,C88888,15500,6000,D21099,19000,24500,1,,
6,CASH_OUT,4100,C99999,6600,2500,D32110,21000,22600,0,,
1,TRANSFER,10200,C00000,15200,5200,D43211,23000,28400,0,,
11,TRANSFER,11200,C11112,16200,4000,D54323,25000,27200,1,,
7,CASH_OUT,17200,C22223,22200,5000,D65434,27000,29200,0,,
5,TRANSFER,2400,C33334,4400,2000,D76545,29000,26400,0,,
3,TRANSFER,5700,C44445,10700,5000,D87656,31000,31700,0,,
8,CASH_OUT,8300,C55556,14300,4000,D98767,33000,22300,1,,
9,TRANSFER,3300,C66667,6300,3000,D09878,35000,38000,0,,
4,CASH_OUT,7400,C77778,12400,5000,D10989,37000,42400,0,,
6,CASH_OUT,9600,C88889,15600,6000,D21090,39000,45600,0,,
2,TRANSFER,4200,C99990,6700,2500,D32101,41000,32200,1,,
1,CASH_OUT,10300,C00001,15300,5300,D43212,43000,50300,0,,
5,TRANSFER,10000,C12345,15000,5000,D54321,3000,13000,0,,
7,CASH_OUT,15000,C23456,20000,5000,D65432,5000,20000,1,,
3,TRANSFER,2000,C34567,4000,2000,D76543,8000,10000,0,,
9,TRANSFER,5000,C45678,10000,5000,D87654,5000,15000,0,,
8,CASH_OUT,8000,C56789,12000,4000,D98765,6000,14000,1,,
6,TRANSFER,3000,C67890,6000,3000,D09876,9000,12000,0,,
2,CASH_OUT,7000,C78901,9000,2000,D10987,7000,14000,0,,
4,TRANSFER,9000,C89012,14000,5000,D21098,10000,19000,1,,
5,CASH_OUT,4000,C90123,7000,3000,D32109,6000,10000,1,,
1,TRANSFER,10000,C01234,15000,5000,D43210,3000,13000,0,,
10,TRANSFER,11000,C11111,16000,5000,D54322,5000,16000,0,,
7,CASH_OUT,16000,C22222,21000,5000,D65433,7000,23000,1,,
4,TRANSFER,2200,C33333,4200,2200,D76544,9000,11200,0,,
3,TRANSFER,5500,C44444,10500,5000,D87655,11000,16500,0,,
9,CASH_OUT,8200,C55555,14200,6000,D98766,13000,22200,1,,
5,CASH_OUT,3200,C66666,6200,3000,D09877,15000,18200,0,,
2,TRANSFER,7200,C77777,12200,5000,D10988,17000,27200,0,,
8,TRANSFER,9500,C88888,15500,6000,D21099,19000,24500,1,,
6,CASH_OUT,4100,C99999,6600,2500,D32110,21000,22600,0,,
1,TRANSFER,10200,C00000,15200,5200,D43211,23000,28400,0,,
